"subject_id","retransc","correction","coq","gram","lex","nt","ref","test","erreurs","audio","exi"
"2","What keeps us happy and healthy as we go through life","What keeps us healthy and happy as we go through life","0","0","0","0","1","rspan","0","1","4.18964821868699"
"2","If you are going to invest now in your future best self","If you were going to invest now in your future best self","0","0","0","0","0","rspan","0","2","4.34270742204501"
"2","Where will you put your time and energy
","where would you put your time and your energy","0","0","0","0","0","rspan","0","3","4.67606828544163"
"2","There was a recent survey of millenials asking them
","There was a recent survey of millennials asking them","0","0","0","0","0","rspan","0","4","5.08594113863692"
"2","What there life most important go","what their most important life goals were","0","0","0","3","0","rspan","0","5","4.00265648348"
"2","And 80 percent said that a major goal for th","and over 80 percent said that a major life goal for them","0","0","0","3","1","rspan","0","6","4.57596027349034"
"2","Was to get rich


","was to get rich","0","0","0","0","0","rspan","0","7","2.66906068431246"
"2","And the other fifty percent of those same young adults
","And another 50 percent of those same young adults","0","0","0","0","1","rspan","0","8","3.94517396721941"
"2","Said that a major life goals was to be famous","said that another major life goal was to become famous","0","0","0","0","0","rspan","0","9","3.45136709995518"
"2","And we're constantly told to lean in to push harder","And we're constantly told to lean in to work to push harder","0","0","0","1","0","rspan","0","10","3.74993244241391"
"2","And achieve more","and achieve more","0","0","0","0","0","rspan","0","11","2.56940160394819"
"2","And those are the impression of things we need to go after","We're given the impression that these are the things that we need to go after","0","0","0","5","1","rspan","0","12","7.05039583920475"
"2","in order to have a good life","in order to have a good life","0","0","0","0","0","rspan","0","13","4.15986989225453"
"2","pictures of entire lives
","Pictures of entire lives","0","0","0","0","0","rspan","0","14","3.08676540582916"
"2","of the choices that people make","of the choices that people make","0","0","0","0","0","rspan","0","15","4.03799931326543"
"2","and how those choices work out for them","and how those choices work out for them","0","0","0","0","0","rspan","0","16","4.37733414395077"
"2","those pictures are almost impossible to get","those pictures are almost impossible to get","0","0","0","0","0","rspan","0","17","4.53128922464373"
"2","most of what we know about human life","Most of what we know about human life","0","0","0","0","0","rspan","0","18","3.95569377482194"
"2","we know from asking people about their past","we know from asking people to remember the past","0","0","0","2","1","rspan","0","19","4.78935698447895"
"2","and as we know are insight 2020","and as we know hindsight is anything but 20/20","0","0","1","1","0","rspan","1","20","3.2882514853213"
"2","we forget of what happen in life","We forget vast amounts of what happens to us in life","0","0","0","3","0","rspan","0","21","5.04063700357738"
"2","and sometimes memory is write down creat","and sometimes memory is downright creative","0","0","0","1","1","rspan","0","22","4.7523040391953"
"2","but what if we could watch entire lives","But what if we could watch entire lives","0","0","0","0","0","rspan","0","23","2.89030891972625"
"2","as they unfold through times","as they unfold through time","0","1","0","0","0","rspan","1","24","3.20315284717973"
"2","what if we could study people","What if we could study people","0","0","0","0","0","rspan","0","25","4.18484796426731"
"2","from the time they were teenager to when they're","from the time that they were teenagers all the way into old age","0","1","0","0","0","rspan","1","26","4.30897474065083"
"2","to see what keeps people happy and healthy","to see what really keeps people happy and healthy","0","0","0","1","0","rspan","0","27","4.97464734713676"
"2","we did that The Harvard study of hard development","We did that The Harvard Study of Adult Development","0","0","1","0","0","rspan","1","28","3.59997118870597"
